storage_filesystem_path, first_date, days, first_date_usage, last_date_usage, difference, maximum, minimum, average, standard_deviation, variance
/storage2/fs1/kongf, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/yany, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/dricardo, 2025-02-01, 29, 2.37, 1.44, -0.93, 2.37, 1.44, 1.79, 0.45, 0.2
/storage2/fs1/tunayilker, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/RADONC-ViewRay, 2025-02-01, 29, 0.0, 0.62, 0.62, 0.62, 0.0, 0.03, 0.13, 0.02
/storage2/fs1/firsztj, 2025-02-01, 29, 1.31, 1.35, 0.04, 1.35, 1.31, 1.33, 0.01, 0.0
/storage2/fs1/zhour, 2025-02-01, 29, 0.04, 0.18, 0.14, 0.18, 0.04, 0.06, 0.05, 0.0
/storage2/fs1/satochihiro, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/hartman_m, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/leejm, 2025-02-01, 29, 0.92, 1.55, 0.63, 1.55, 0.92, 1.41, 0.23, 0.05
/storage2/fs1/guozhen, 2025-02-01, 29, 0.05, 0.08, 0.03, 0.08, 0.05, 0.07, 0.01, 0.0
/storage2/fs1/f.alex, 2025-02-01, 29, 0.65, 0.65, 0.0, 0.65, 0.65, 0.65, 0.0, 0.0
/storage2/fs1/mingzhou.zhou, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cfritz, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/RIS-Services, 2025-02-01, 29, 0.02, 0.7, 0.68, 0.7, 0.02, 0.37, 0.34, 0.12
/storage2/fs1/alirezag, 2025-02-01, 29, 3.07, 3.37, 0.3, 5.21, 0.0, 4.69, 1.02, 1.05
/storage2/fs1/matthew.brier, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
